"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\index.html", "HTML", 9, 0, 1, 10
"Total", "-", 9, 0, 1, 10
